bench,time,size,compression_ratio,ns,time_ratio,quality
compression/pack/flate2-5,39.279 ms,531571,.165,39279000.000,-.6072100000,1.2211050000
compression/pack/lzma,53.495 ms,1131078,.352,53495000.000,-.4650500000,1.0565250000
compression/pack/tar,139.26 us,3209216,1.000,139260.00,-.9986074000,.9993037000
compression/pack/lzma2,154.87 us,3207394,1.000,154870.00,-.9984513000,.9992256500
compression/pack/lzma_xz,162.90 us,3207448,1.000,162900.00,-.9983710000,.9991855000
compression/pack/yazi-Default,87.689 ms,511734,.159,87689000.000,-.1231100000,.9820550000
compression/pack/flate2-6,89.266 ms,511734,.159,89266000.000,-.1073400000,.9741700000
compression/pack/deflate-Default,103.00 ms,510688,.159,103000000.00,.0300000000,.9055000000
compression/pack/flate2-7,137.42 ms,505345,.157,137420000.00,.3742000000,.7344000000
compression/pack/flate2-8,215.38 ms,501494,.156,215380000.00,1.1538000000,.3451000000
compression/pack/yazi-BestSize,281.16 ms,500247,.155,281160000.00,1.8116000000,.0167000000
compression/unpack/lzma2,279.54 us,,0,279540.00,1.7954000000,-.7954000000
compression/pack/deflate-Best,596.28 ms,498054,.155,596280000.00,4.9628000000,-1.5589000000
compression/unpack/lzma_xz,434.06 us,,0,434060.00,3.3406000000,-2.3406000000
compression/unpack/zip,709.97 us,,0,709970.00,6.0997000000,-5.0997000000
compression/unpack/snap,1.5378 ms,,0,1537800.0000,14.3780000000,-13.3780000000
compression/unpack/yazi-BestSize,2.3059 ms,,0,2305900.0000,22.0590000000,-21.0590000000
compression/unpack/yazi-Default,2.3545 ms,,0,2354500.0000,22.5450000000,-21.5450000000
compression/pack/brotli,5.0572 s,301546,.094,5057200000.0000,49.5720000000,-23.8330000000
compression/unpack/yazi-BestSpeed,3.5880 ms,,0,3588000.0000,34.8800000000,-33.8800000000
compression/unpack/lz4_fear,3.6166 ms,,0,3616600.0000,35.1660000000,-34.1660000000
compression/unpack/flate2-8,3.9719 ms,,0,3971900.0000,38.7190000000,-37.7190000000
compression/unpack/flate2-7,4.0079 ms,,0,4007900.0000,39.0790000000,-38.0790000000
compression/unpack/flate2-6,4.1003 ms,,0,4100300.0000,40.0030000000,-39.0030000000
compression/unpack/flate2-5,4.3011 ms,,0,4301100.0000,42.0110000000,-41.0110000000
compression/unpack/flate2-4,4.5075 ms,,0,4507500.0000,44.0750000000,-43.0750000000
compression/unpack/flate2-3,4.5476 ms,,0,4547600.0000,44.4760000000,-43.4760000000
compression/unpack/lz4,5.1129 ms,,0,5112900.0000,50.1290000000,-49.1290000000
compression/unpack/flate2-2,5.2633 ms,,0,5263300.0000,51.6330000000,-50.6330000000
compression/unpack/brotli,5.2807 ms,,0,5280700.0000,51.8070000000,-50.8070000000
compression/unpack/flate2-1,5.7891 ms,,0,5789100.0000,56.8910000000,-55.8910000000
compression/unpack/deflate-Best,13.204 ms,,0,13204000.000,131.0400000000,-130.0400000000
compression/unpack/deflate-Default,13.548 ms,,0,13548000.000,134.4800000000,-133.4800000000
compression/unpack/deflate-Fast,17.272 ms,,0,17272000.000,171.7200000000,-170.7200000000
compression/pack/zopfli,42.483 s,464437,.144,42483000000.000,423.8300000000,-210.9870000000
compression/unpack/lzma,103.29 ms,,0,103290000.00,1031.9000000000,-1030.9000000000
